id,division,department,class,title,description
1,Initmates,Intimate,Layering,Layering Bodysuit,"A seamless bodysuit perfect for layering. Comfortable, smooth, and ideal under any outfit."
2,General,Tops,Knits,Classic Ribbed Knit Top,A versatile ribbed knit top that pairs well with any bottom. Soft and stretchy for all-day comfort.
4,General,Tops,Sweaters,Cashmere Turtleneck Sweater,A luxurious cashmere turtleneck that combines warmth with elegance. A winter wardrobe essential.
5,General,Tops,Sweaters,Cashmere Turtleneck Sweater,A luxurious cashmere turtleneck that combines warmth with elegance. A winter wardrobe essential.
7,General,Jackets,Outerwear,Classic Wool Overcoat,"A timeless wool overcoat that offers warmth and style, perfect for layering over any outfit."
8,Initmates,Intimate,Swim,Vintage-Inspired Swimwear,"A chic, vintage-inspired swimsuit that combines style with comfort. Perfect for beach or poolside."
9,General,Bottoms,Jeans,Classic Straight-Leg Jeans,Timeless straight-leg jeans that fit like a dream. Perfect for everyday casual wear.
10,Initmates,Intimate,Chemises,Lace Trim Chemise,A delicate lace trim chemise that’s both elegant and comfortable. Perfect for a good night’s sleep.
11,General,Bottoms,Jeans,Classic Straight-Leg Jeans,Timeless straight-leg jeans that fit like a dream. Perfect for everyday casual wear.
12,General,Tops,Knits,Classic Ribbed Knit Top,A versatile ribbed knit top that pairs well with any bottom. Soft and stretchy for all-day comfort.
13,General,Dresses,Dresses,Elegant A-Line Dress,"A classic A-line dress that flows gracefully, perfect for any occasion. Tailored for a flattering fit."
14,Initmates,Intimate,Intimates,Lace Trimmed Intimates Set,"A delicate lace-trimmed set, combining elegance with comfort. Ideal for everyday wear."
15,Initmates,Intimate,Layering,Layering Bodysuit,"A seamless bodysuit perfect for layering. Comfortable, smooth, and ideal under any outfit."
16,General,Dresses,Dresses,Elegant A-Line Dress,"A classic A-line dress that flows gracefully, perfect for any occasion. Tailored for a flattering fit."
17,General,Dresses,Dresses,Elegant A-Line Dress,"A classic A-line dress that flows gracefully, perfect for any occasion. Tailored for a flattering fit."
18,General Petite,Bottoms,Jeans,Petite Skinny Jeans,"Flattering skinny jeans designed for petites, offering both comfort and style."
19,General,Jackets,Outerwear,Classic Wool Overcoat,"A timeless wool overcoat that offers warmth and style, perfect for layering over any outfit."
20,General,Dresses,Dresses,Elegant A-Line Dress,"A classic A-line dress that flows gracefully, perfect for any occasion. Tailored for a flattering fit."
21,General Petite,Tops,Fine gauge,Petite Fine Gauge Cardigan,"A fine gauge cardigan, lightweight and perfect for layering. Tailored for petite frames."
22,General,Tops,Knits,Classic Ribbed Knit Top,A versatile ribbed knit top that pairs well with any bottom. Soft and stretchy for all-day comfort.
24,Initmates,Intimate,Swim,Vintage-Inspired Swimwear,"A chic, vintage-inspired swimsuit that combines style with comfort. Perfect for beach or poolside."
25,General,Tops,Knits,Classic Ribbed Knit Top,A versatile ribbed knit top that pairs well with any bottom. Soft and stretchy for all-day comfort.
26,General,Dresses,Dresses,Elegant A-Line Dress,"A classic A-line dress that flows gracefully, perfect for any occasion. Tailored for a flattering fit."
27,Initmates,Intimate,Intimates,Lace Trimmed Intimates Set,"A delicate lace-trimmed set, combining elegance with comfort. Ideal for everyday wear."
28,Initmates,Intimate,Swim,Vintage-Inspired Swimwear,"A chic, vintage-inspired swimsuit that combines style with comfort. Perfect for beach or poolside."
29,General Petite,Dresses,Dresses,Petite Floral Midi Dress,"A beautiful floral midi dress designed for petites, offering a perfect balance of style and comfort."
30,General Petite,Dresses,Dresses,Petite Floral Midi Dress,"A beautiful floral midi dress designed for petites, offering a perfect balance of style and comfort."
33,Initmates,Intimate,Intimates,Lace Trimmed Intimates Set,"A delicate lace-trimmed set, combining elegance with comfort. Ideal for everyday wear."
34,Initmates,Intimate,Intimates,Lace Trimmed Intimates Set,"A delicate lace-trimmed set, combining elegance with comfort. Ideal for everyday wear."
35,Initmates,Intimate,Intimates,Lace Trimmed Intimates Set,"A delicate lace-trimmed set, combining elegance with comfort. Ideal for everyday wear."
37,Initmates,Intimate,Intimates,Lace Trimmed Intimates Set,"A delicate lace-trimmed set, combining elegance with comfort. Ideal for everyday wear."
